Tracker ID,Current_stage,Status,slew_drive_stage,pony_panel_stage,source_image
A24T01R01_boundary,torque_tube,completed,not_started,not_started,A24T01R01_boundary.tif
A24T01R02_boundary,pile,completed,in_progress,not_started,A24T01R02_boundary.tif
A24T01R03_boundary,pile,completed,not_started,not_started,A24T01R03_boundary.tif
A24T01R04_boundary,torque_tube,completed,completed,not_started,A24T01R04_boundary.tif
A24T01R05_boundary,torque_tube,completed,completed,not_started,A24T01R05_boundary.tif
A24T01R06_boundary,pile,completed,not_started,not_started,A24T01R06_boundary.tif
A24T01R07_boundary,torque_tube,completed,completed,not_started,A24T01R07_boundary.tif
A24T01R08_boundary,torque_tube,completed,completed,not_started,A24T01R08_boundary.tif
A24T01R09_boundary,torque_tube,completed,completed,not_started,A24T01R09_boundary.tif
A24T01R10_boundary,pile,completed,in_progress,not_started,A24T01R10_boundary.tif
A24T01R11_boundary,pile,completed,not_started,not_started,A24T01R11_boundary.tif
A24T01R12_boundary,torque_tube,completed,completed,not_started,A24T01R12_boundary.tif
A24T01R13_boundary,torque_tube,completed,completed,not_started,A24T01R13_boundary.tif
A24T01R14_boundary,torque_tube,completed,completed,not_started,A24T01R14_boundary.tif
A24T01R15_boundary,pile,completed,completed,not_started,A24T01R15_boundary.tif
A24T01R16_boundary,torque_tube,completed,completed,not_started,A24T01R16_boundary.tif
A24T01R17_boundary,pile,completed,completed,not_started,A24T01R17_boundary.tif
A24T01R18_boundary,pile,completed,in_progress,not_started,A24T01R18_boundary.tif
A24T01R19_boundary,pile,completed,in_progress,not_started,A24T01R19_boundary.tif
A24T01R20_boundary,torque_tube,completed,completed,not_started,A24T01R20_boundary.tif
A24T01R21_boundary,torque_tube,completed,completed,not_started,A24T01R21_boundary.tif
A24T01R22_boundary,torque_tube,completed,completed,not_started,A24T01R22_boundary.tif
A24T01R23_boundary,torque_tube,completed,completed,not_started,A24T01R23_boundary.tif
A24T01R24_boundary,pile,completed,in_progress,not_started,A24T01R24_boundary.tif
A24T01R25_boundary,torque_tube,completed,completed,not_started,A24T01R25_boundary.tif
A24T01R26_boundary,torque_tube,completed,completed,not_started,A24T01R26_boundary.tif
A24T01R27_boundary,torque_tube,completed,completed,not_started,A24T01R27_boundary.tif
A24T01R28_boundary,pile,completed,not_started,not_started,A24T01R28_boundary.tif
A24T01R29_boundary,module_rails,completed,completed,not_started,A24T01R29_boundary.tif
A24T01R30_boundary,torque_tube,completed,completed,not_started,A24T01R30_boundary.tif
A24T01R31_boundary,torque_tube,completed,completed,not_started,A24T01R31_boundary.tif
A24T01R32_boundary,pile,completed,in_progress,not_started,A24T01R32_boundary.tif
A24T01R33_boundary,pile,completed,in_progress,not_started,A24T01R33_boundary.tif
A24T01R34_boundary,torque_tube,completed,completed,not_started,A24T01R34_boundary.tif
A24T01R35_boundary,torque_tube,in_progress,completed,not_started,A24T01R35_boundary.tif
A24T01R36_boundary,pile,completed,in_progress,not_started,A24T01R36_boundary.tif
