Tracker ID,Current_stage,Status,slew_drive_stage,pony_panel_stage,source_image
A06T01R01_boundary,pile,completed,not_started,not_started,A06T01R01_boundary.tif
A06T01R02_boundary,pile,not_started,not_started,not_started,A06T01R02_boundary.tif
A06T01R03_boundary,pile,completed,not_started,not_started,A06T01R03_boundary.tif
A06T01R04_boundary,pile,completed,not_started,not_started,A06T01R04_boundary.tif
A06T01R05_boundary,pile,completed,not_started,not_started,A06T01R05_boundary.tif
A06T01R06_boundary,pile,completed,in_progress,not_started,A06T01R06_boundary.tif
A06T01R07_boundary,pile,completed,not_started,not_started,A06T01R07_boundary.tif
A06T01R08_boundary,pile,completed,completed,not_started,A06T01R08_boundary.tif
A06T01R09_boundary,pile,completed,not_started,not_started,A06T01R09_boundary.tif
A06T01R10_boundary,torque_tube,completed,completed,not_started,A06T01R10_boundary.tif
A06T01R11_boundary,pile,completed,not_started,not_started,A06T01R11_boundary.tif
A06T01R12_boundary,pile,completed,not_started,not_started,A06T01R12_boundary.tif
A06T01R13_boundary,pile,completed,not_started,not_started,A06T01R13_boundary.tif
A06T01R14_boundary,pile,completed,in_progress,not_started,A06T01R14_boundary.tif
A06T01R15_boundary,module_rails,completed,completed,not_started,A06T01R15_boundary.tif
A06T01R16_boundary,pile,completed,not_started,not_started,A06T01R16_boundary.tif
A06T01R17_boundary,module_rails,completed,completed,not_started,A06T01R17_boundary.tif
A06T01R18_boundary,pile,completed,in_progress,not_started,A06T01R18_boundary.tif
A06T01R19_boundary,pile,completed,not_started,not_started,A06T01R19_boundary.tif
A06T01R20_boundary,solar_panel,in_progress,completed,not_started,A06T01R20_boundary.tif
A06T01R21_boundary,torque_tube,in_progress,in_progress,not_started,A06T01R21_boundary.tif
A06T01R22_boundary,module_rails,completed,completed,not_started,A06T01R22_boundary.tif
A06T01R23_boundary,torque_tube,completed,completed,not_started,A06T01R23_boundary.tif
A06T01R24_boundary,torque_tube,completed,completed,not_started,A06T01R24_boundary.tif
A06T01R25_boundary,torque_tube,completed,completed,not_started,A06T01R25_boundary.tif
A06T01R26_boundary,pile,completed,in_progress,not_started,A06T01R26_boundary.tif
A06T01R27_boundary,pile,completed,not_started,not_started,A06T01R27_boundary.tif
A06T01R28_boundary,module_rails,completed,completed,not_started,A06T01R28_boundary.tif
